Simulacion,Spot_Futuro
979,3688.1357904564443
980,3689.835332806198
981,3686.4317582440026
982,3603.4308024757065
983,3729.0395850660216
984,3711.5799013650294
985,3716.100083392446
986,3724.234208855702
987,3680.4728731126415
988,3672.4525257215373
989,3704.653940668727
990,3628.8943249991917
991,3685.042209554599
992,3745.527031526714
993,3712.0396306866596
994,3664.8058371137085
995,3665.7732129178275
996,3698.9214813508925
997,3722.158455914025
998,3632.1022118006413
999,3716.0362585433977
1000,3710.3937902063567
1001,3659.115015426085
1002,3632.4720105523397
1003,3664.921692377314
1004,3689.0598261738623
1005,3681.6220642342755
1006,3657.9482948085965
1007,3726.9915720474337
1008,3690.8094889048966
1009,3686.7779543331326
1010,3668.6110149148335
1011,3662.129245985052
1012,3667.3026422144867
1013,3667.9146167681583
1014,3690.5009409296986
1015,3689.8712630212694
1016,3651.3428978512893
1017,3656.4038262767126
1018,3689.4748004106564
1019,3665.7396561321275
1020,3737.2682725333466
1021,3699.692836498545
1022,3723.0393098877144
1023,3727.970531178641
1024,3718.7530978905966
1025,3686.836564213585
1026,3703.7487443257555
1027,3706.4300473464687
1028,3705.9354859082655
1029,3744.5319109253073
1030,3714.184817237759
1031,3707.6676288866993
1032,3647.613895227948
1033,3671.1166321153214
1034,3740.1199054306376
1035,3664.3133895514125
1036,3661.077935847277
1037,3730.722206451768
1038,3691.63695546317
1039,3671.153510104053
1040,3731.426501986289
1041,3650.8970117724734
1042,3709.5454637760695
1043,3720.4438740668165
1044,3692.9422551115454
1045,3674.1682455648615
1046,3740.8906500443004
1047,3691.8156555412083
1048,3746.9919996222347
1049,3673.584319851091
1050,3666.4904230917796
1051,3717.7562875353947
1052,3654.521491449437
1053,3625.366409694583
1054,3679.0175253983743
1055,3673.2738511451826
1056,3670.770331397911
1057,3725.431242995083
1058,3675.2644794859602
1059,3722.7293572095145
1060,3658.268699365125
1061,3720.5609355884203
1062,3672.3684331246745
1063,3670.208968610078
1064,3731.1445726423844
1065,3690.4902529070328
1066,3697.1009723604543
1067,3704.8995577507394
1068,3712.714084601081
1069,3696.251657102748
1070,3722.646298166385
1071,3708.653233515024
1072,3674.089469790364
1073,3691.5450616696558
1074,3658.9403143264326
1075,3669.9667735983708
1076,3698.988592831161
1077,3651.625444282772
1078,3658.602985344309
1079,3707.0211735366606
1080,3746.0848618377345
1081,3703.1622396704306
1082,3735.7087837284134
1083,3654.718912831187
1084,3678.385973845835
1085,3710.5865496178785
1086,3660.2397641118037
1087,3693.9468142093697
1088,3685.7828066022225
1089,3720.835654608479
1090,3673.0590175329735
1091,3711.736082817265
1092,3668.6795840497116
1093,3744.6968651800175
1094,3660.9885828256024
1095,3682.6822877289706
1096,3646.9465048215675
1097,3729.5182418107283
1098,3686.3522928444286
1099,3686.20185138304
1100,3690.3156122352716
1101,3631.883572510193
1102,3688.174419446981
1103,3686.6326699980423
1104,3660.117373287352
1105,3699.713858146259
1106,3699.6725620840384
1107,3715.958370815808
1108,3684.2969939547816
1109,3676.328430569235
1110,3675.425331856782
1111,3718.1847220629534
1112,3630.108541408938
1113,3647.23047087778
1114,3640.3512260616644
1115,3729.2006145121204
1116,3643.2140957087036
1117,3688.920759796753
1118,3693.9512856450733
1119,3677.564837953787
1120,3736.560335233875
1121,3672.475702549881
1122,3672.178636742348
1123,3657.652351270022
1124,3674.930884265348
1125,3671.9671967284735
1126,3646.099847860336
1127,3711.1690690013643
1128,3723.688638780637
1129,3661.5801872989305
1130,3679.104618442263
1131,3691.6534256318673
1132,3659.640198634279
1133,3691.9953519522987
1134,3701.433439427907
1135,3641.720713966142
1136,3712.179030721293
1137,3689.6489125760318
1138,3693.6213845890684
1139,3673.2141735154546
1140,3714.6518206713313
1141,3638.967195588484
1142,3712.9990755081617
1143,3690.6139949965373
1144,3681.07961005447
1145,3690.4220311275876
1146,3696.3905235392094
1147,3716.597849971761
1148,3749.7455243427075
1149,3673.7369401102123
1150,3706.558395239181
1151,3696.094611030245
1152,3677.1599161032036
1153,3668.652321161588
1154,3691.0214743261795
1155,3636.4860877753877
1156,3641.7344801132754
1157,3717.8917233609573
1158,3669.034933370781
1159,3666.023395316814
1160,3665.9897695738327
1161,3671.114201295123
1162,3697.7693749525138
1163,3659.253056031453
1164,3714.780930852726
1165,3716.7206708839467
1166,3670.420099997766
1167,3730.326595360476
1168,3709.768292117201
1169,3696.6011788897686
1170,3626.535912999063
1171,3657.81934523745
1172,3650.7159365328025
1173,3726.1980300691057
1174,3739.027725152096
1175,3664.7512092638494
1176,3670.72553370229
1177,3733.280470153172
1178,3704.1933269358287
1179,3704.0970295061948
1180,3687.494844058188
1181,3694.4452974204405
